id,symbol,name
bitcoin,BTC,Bitcoin
ethereum,ETH,Ethereum
tether,USDT,Tether
ripple,XRP,XRP
binancecoin,BNB,BNB
solana,SOL,Solana
usd-coin,USDC,USDC
tron,TRX,TRON
staked-ether,STETH,Lido Staked Ether
dogecoin,DOGE,Dogecoin
cardano,ADA,Cardano
figure-heloc,FIGR_HELOC,Figure Heloc
whitebit,WBT,WhiteBIT Coin
wrapped-steth,WSTETH,Wrapped stETH
wrapped-bitcoin,WBTC,Wrapped Bitcoin
bitcoin-cash,BCH,Bitcoin Cash
wrapped-beacon-eth,WBETH,Wrapped Beacon ETH
usds,USDS,USDS
binance-bridged-usdt-bnb-smart-chain,BSC-USD,Binance Bridged USDT (BNB Smart Chain)
chainlink,LINK,Chainlink
hyperliquid,HYPE,Hyperliquid
leo-token,LEO,LEO Token
zcash,ZEC,Zcash
stellar,XLM,Stellar
weth,WETH,WETH
wrapped-eeth,WEETH,Wrapped eETH
ethena-usde,USDE,Ethena USDe
monero,XMR,Monero
coinbase-wrapped-btc,CBBTC,Coinbase Wrapped BTC
litecoin,LTC,Litecoin
hedera-hashgraph,HBAR,Hedera
avalanche-2,AVAX,Avalanche
sui,SUI,Sui
shiba-inu,SHIB,Shiba Inu
dai,DAI,Dai
world-liberty-financial,WLFI,World Liberty Financial
ethena-staked-usde,SUSDE,Ethena Staked USDe
crypto-com-chain,CRO,Cronos
usdt0,USDT0,USDT0
uniswap,UNI,Uniswap
the-open-network,TON,Toncoin
susds,SUSDS,sUSDS
paypal-usd,PYUSD,PayPal USD
polkadot,DOT,Polkadot
mantle,MNT,Mantle
memecore,M,MemeCore
canton-network,CC,Canton
bittensor,TAO,Bittensor
aave,AAVE,Aave
usd1-wlfi,USD1,USD1
bitget-token,BGB,Bitget Token
near,NEAR,NEAR Protocol
aster-2,ASTER,Aster
blackrock-usd-institutional-digital-liquidity-fund,BUIDL,BlackRock USD Institutional Digital Liquidity Fund
internet-computer,ICP,Internet Computer
okb,OKB,OKB
falcon-finance,USDF,Falcon USD
tether-gold,XAUT,Tether Gold
ethereum-classic,ETC,Ethereum Classic
ethena,ENA,Ethena
pi-network,PI,Pi Network
jito-staked-sol,JITOSOL,Jito Staked SOL
pepe,PEPE,Pepe
jupiter-perpetuals-liquidity-provider-token,JLP,Jupiter Perpetuals Liquidity Provider Token
rain,RAIN,Rain
binance-peg-weth,WETH,Binance-Peg WETH
wrapped-solana,SOL,Wrapped SOL
aptos,APT,Aptos
pump-fun,PUMP,Pump.fun
htx-dao,HTX,HTX DAO
ondo-finance,ONDO,Ondo
kucoin-shares,KCS,KuCoin
worldcoin-wld,WLD,Worldcoin
polygon-ecosystem-token,POL,POL (ex-MATIC)
pax-gold,PAXG,PAX Gold
usdtb,USDTB,USDtb
kaspa,KAS,Kaspa
syrupusdc,SYRUPUSDC,syrupUSDC
bfusd,BFUSD,BFUSD
binance-bridged-usdc-bnb-smart-chain,USDC,Binance Bridged USDC (BNB Smart Chain)
hash-2,HASH,Provenance Blockchain
algorand,ALGO,Algorand
official-trump,TRUMP,Official Trump
rocket-pool-eth,RETH,Rocket Pool ETH
quant-network,QNT,Quant
ripple-usd,RLUSD,Ripple USD
arbitrum,ARB,Arbitrum
global-dollar,USDG,Global Dollar
cosmos,ATOM,Cosmos Hub
gatechain-token,GT,Gate
hashnote-usyc,USYC,Circle USYC
wbnb,WBNB,Wrapped BNB
binance-staked-sol,BNSOL,Binance Staked SOL
filecoin,FIL,Filecoin
vechain,VET,VeChain
flare-networks,FLR,Flare
kelp-dao-restaked-eth,RSETH,Kelp DAO Restaked ETH
ignition-fbtc,FBTC,Function FBTC
xdce-crowd-sale,XDC,XDC Network
kinetic-staked-hype,KHYPE,Kinetiq Staked HYPE
sky,SKY,Sky
lombard-staked-btc,LBTC,Lombard Staked BTC
liquid-staked-ethereum,LSETH,Liquid Staked ETH
nexo,NEXO,NEXO
render-token,RENDER,Render
first-digital-usd,FDUSD,First Digital USD
solv-btc,SOLVBTC,Solv Protocol BTC
superstate-short-duration-us-government-securities-fund-ustb,USTB,Superstate Short Duration U.S. Government Securities Fund (USTB)
sei-network,SEI,Sei
story-2,IP,Story
syrupusdt,SYRUPUSDT,syrupUSDT
bonk,BONK,Bonk
morpho,MORPHO,Morpho
pancakeswap-token,CAKE,PancakeSwap
ousg,OUSG,OUSG
jupiter-exchange-solana,JUP,Jupiter
janus-henderson-anemoy-aaa-clo-fund,JAAA,Janus Henderson Anemoy AAA CLO Fund
fasttoken,FTN,Fasttoken
renzo-restaked-eth,EZETH,Renzo Restaked ETH
mantle-staked-ether,METH,Mantle Staked Ether
pudgy-penguins,PENGU,Pudgy Penguins
fetch-ai,FET,Artificial Superintelligence Alliance
arbitrum-bridged-wbtc-arbitrum-one,WBTC,Arbitrum Bridged WBTC (Arbitrum One)
dash,DASH,Dash
ondo-us-dollar-yield,USDY,Ondo US Dollar Yield
clbtc,CLBTC,clBTC
jupiter-staked-sol,JUPSOL,Jupiter Staked SOL
aerodrome-finance,AERO,Aerodrome Finance
bridged-usdc-polygon-pos-bridge,USDC.E,Polygon Bridged USDC (Polygon PoS)
starknet,STRK,Starknet
virtual-protocol,VIRTUAL,Virtuals Protocol
polygon-pos-bridged-dai-polygon-pos,DAI,Polygon PoS Bridged DAI (Polygon POS)
usdai,USDAI,USDai
optimism,OP,Optimism
beldex,BDX,Beldex
curve-dao-token,CRV,Curve DAO
stakewise-v3-oseth,OSETH,StakeWise Staked ETH
lido-dao,LDO,Lido DAO
blockstack,STX,Stacks
injective-protocol,INJ,Injective
l2-standard-bridged-weth-base,WETH,L2 Standard Bridged WETH (Base)
msol,MSOL,Marinade Staked SOL
newton-project,AB,AB
tbtc,TBTC,tBTC
usual-usd,USD0,Usual USD
the-graph,GRT,The Graph
celestia,TIA,Celestia
myx-finance,MYX,MYX Finance
tezos,XTZ,Tezos
spx6900,SPX,SPX6900
telcoin,TEL,Telcoin
true-usd,TUSD,TrueUSD
cgeth-hashkey-cloud,CGETH.HASHKEY,cgETH Hashkey Cloud
iota,IOTA,IOTA
mantle-bridged-usdt-mantle,USDT,Mantle Bridged USDT (Mantle)
arbitrum-bridged-weth-arbitrum-one,WETH,Arbitrum Bridged WETH (Arbitrum One)
kaia,KAIA,Kaia
usdd,USDD,USDD
floki,FLOKI,FLOKI
trust-wallet-token,TWT,Trust Wallet
ether-fi,ETHFI,Ether.fi
gteth,GTETH,GTETH
stader-ethx,ETHX,Stader ETHx
steakhouse-usdc-morpho-vault,STEAKUSDC,Steakhouse USDC Morpho Vault
pyth-network,PYTH,Pyth Network
eutbl,EUTBL,Spiko EU T-Bills Money Market Fund
ethereum-name-service,ENS,Ethereum Name Service
conflux-token,CFX,Conflux
doublezero,2Z,DoubleZero
ether-fi-liquid-eth,LIQUIDETH,Ether.Fi Liquid ETH
monad,MON,Monad
sonic-3,S,Sonic
gho,GHO,GHO
bitcoin-cash-sv,BSV,Bitcoin SV
plasma,XPL,Plasma
the-sandbox,SAND,The Sandbox
bittorrent,BTT,BitTorrent
ether-fi-staked-eth,EETH,ether.fi Staked ETH
pendle,PENDLE,Pendle
usdb,USDB,USDB
sun-token,SUN,Sun Token
decred,DCR,Decred
helium,HNT,Helium
sweth,SWETH,Swell Ethereum
apenft,NFT,AINFT
